id;register_code;account_name;account_type;account_angle;ksei_client_code;ksei_subrek;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;Knolls net;Home Loan Account;m;true;Refi;compressing Fut;2019-12-03;2019-12-03T02:09:15;88346;2019-12-03;2019-12-02T22:52:49;3079
2;Orchestrat;Credit Card Account;c;true;Clot;moderator trans;2019-12-02;2019-12-03T01:38:17;27875;2019-12-02;2019-12-03T04:34:58;52857
3;auxiliary ;Personal Loan Account;I;true;Rust;program calcula;2019-12-03;2019-12-03T00:03:41;48762;2019-12-02;2019-12-03T07:46:34;28033
4;Kenyan Shi;Money Market Account;B;true;Taka;neural-net Ergo;2019-12-02;2019-12-03T03:49:35;70708;2019-12-02;2019-12-03T08:26:04;14519
5;interface;Credit Card Account;w;true;engi;Marketing;2019-12-02;2019-12-03T03:15:07;90611;2019-12-03;2019-12-03T01:55:26;58325
6;overriding;Savings Account;K;true;cyan;Cambridgeshire ;2019-12-02;2019-12-02T20:19:41;7177;2019-12-02;2019-12-02T17:15:26;52627
7;Road;Savings Account;p;false;Forw;foreground Avon;2019-12-03;2019-12-02T13:52:10;62955;2019-12-02;2019-12-03T08:20:09;27154
8;monetize S;Auto Loan Account;p;true;Seni;User-centric by;2019-12-03;2019-12-02T11:17:55;10189;2019-12-02;2019-12-03T00:59:39;12992
9;Texas;Auto Loan Account;S;true;Divi;Technician Ergo;2019-12-02;2019-12-02T20:05:20;38764;2019-12-02;2019-12-02T18:27:18;84424
10;UAE Dirham;Personal Loan Account;C;false;Seyc;bluetooth invoi;2019-12-03;2019-12-03T07:07:28;36005;2019-12-02;2019-12-02T10:40:37;38512
