id;kode_jenis;nama_jenis;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;Lempira;pixel withdrawal;2019-12-02;2019-12-02T19:34:41;47221;2019-12-02;2019-12-03T06:10:39;97171
2;synthesizi;Avon;2019-12-02;2019-12-02T15:59:32;42754;2019-12-03;2019-12-03T08:26:16;43933
3;red;withdrawal knowledge base Buckinghamshire;2019-12-02;2019-12-03T05:42:14;24929;2019-12-02;2019-12-02T23:11:55;53984
4;white Bran;Salad Web virtual;2019-12-02;2019-12-03T06:30:57;87146;2019-12-02;2019-12-02T13:45:36;21844
5;e-business;Ghana back-end National;2019-12-03;2019-12-02T11:17:03;11005;2019-12-03;2019-12-03T03:34:39;64769
6;Jewelery c;Games;2019-12-02;2019-12-02T20:13:47;41741;2019-12-02;2019-12-03T03:43:02;69243
7;encompassi;Directives;2019-12-03;2019-12-03T03:47:51;51879;2019-12-02;2019-12-02T16:10:32;40383
8;Tasty Conc;Buckinghamshire capability zero tolerance;2019-12-03;2019-12-03T02:38:42;60956;2019-12-02;2019-12-02T20:59:01;41103
9;Home;Investor Public-key;2019-12-03;2019-12-02T20:18:20;48945;2019-12-02;2019-12-02T09:23:33;55289
10;Credit Car;navigate;2019-12-03;2019-12-03T03:14:10;72821;2019-12-02;2019-12-03T00:13:16;47030
