id;kode_kategori;nama_kategori;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;mobile Fis;Home Loan Account Table Computer;2019-12-03;2019-12-02T22:37:04;86617;2019-12-03;2019-12-02T19:12:47;14286
2;deposit Ta;Chips;2019-12-03;2019-12-02T18:49:13;30424;2019-12-02;2019-12-02T21:02:44;706
3;Home Namib;Steel zero administration;2019-12-03;2019-12-03T04:03:11;45606;2019-12-03;2019-12-02T14:47:44;61838
4;syndicate;Mississippi Refined Rubber Chicken Table;2019-12-03;2019-12-03T09:19:16;94888;2019-12-02;2019-12-02T10:27:53;56328
5;envisionee;infomediaries;2019-12-03;2019-12-02T18:59:59;49517;2019-12-02;2019-12-03T08:48:51;17336
6;incentiviz;Costa Rica Mayotte;2019-12-03;2019-12-03T08:53:17;96958;2019-12-02;2019-12-02T15:02:12;44975
7;e-enable C;Awesome;2019-12-03;2019-12-02T21:08:23;4522;2019-12-02;2019-12-03T01:49:54;84453
8;compress S;compelling mission-critical;2019-12-02;2019-12-03T03:00:56;14092;2019-12-03;2019-12-02T14:23:14;16526
9;Industrial;index orange;2019-12-03;2019-12-03T09:18:06;81546;2019-12-03;2019-12-02T16:40:31;71134
10;1080p Chec;Frozen IB;2019-12-02;2019-12-02T22:51:10;33089;2019-12-03;2019-12-03T08:06:51;37081
