id;kode_reksadana;nama_reksadana;isin_code;tanggal_peluncuran;aum;unit;last_pos_date;biaya_pembelian;biaya_penjualan;biaya_switching;notes;status;nav;barometer;currency_id;issuer_id;custody_id;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;FTP Tools California;North Dakota Garden;Towels Specialist;2019-12-02;59083;86040;2019-12-03;25025;3734;3883;frame Brunei Darussalam interface;c;8534;84202;5168;19438;53135;2019-12-02;2019-12-02T20:04:22;69951;2019-12-02;2019-12-03T05:43:39;72609
2;Strategist;card Licensed Cotton Ball;mindshare Gorgeous;2019-12-03;18433;96264;2019-12-03;83598;42831;69597;paradigms Salad Table;O;9387;71459;18286;66019;93461;2019-12-03;2019-12-02T17:43:46;95486;2019-12-02;2019-12-02T15:20:19;65711
3;e-markets system;Organic;Cheese Steel;2019-12-03;11607;9179;2019-12-03;9415;4072;31141;Developer Shoes Music;B;43385;64977;39850;4805;61585;2019-12-02;2019-12-02T17:48:21;88668;2019-12-03;2019-12-03T02:47:11;37461
4;Personal Loan Accoun;Cambridgeshire Norfolk Island;Soap Tasty Metal Sau;2019-12-02;63640;94023;2019-12-02;57547;67716;38816;deposit Station;p;82042;96119;65148;90535;20668;2019-12-03;2019-12-03T02:28:22;6936;2019-12-03;2019-12-03T06:37:45;37725
5;Ergonomic Rubber Chi;Handcrafted Plastic Shirt quantifying;wireless;2019-12-03;28185;49603;2019-12-03;69289;69673;34833;Accountability Handmade Cotton Bacon;i;80683;57592;99050;73164;41261;2019-12-03;2019-12-03T00:07:10;25001;2019-12-02;2019-12-02T19:06:54;34080
6;Infrastructure SSL b;application Configurable iterate;Berkshire navigating;2019-12-03;29763;89552;2019-12-03;38920;5348;1083;Internal Fantastic time-frame;C;8328;44844;9170;29321;60244;2019-12-03;2019-12-02T19:45:33;67251;2019-12-03;2019-12-02T14:59:28;94619
7;neural Wooden Optimi;Tasty Rubber Car mindshare EXE;bandwidth Liaison;2019-12-02;76151;83696;2019-12-02;86686;10112;83848;infomediaries;F;70624;14660;8134;51332;8483;2019-12-03;2019-12-02T09:22:08;58130;2019-12-03;2019-12-02T12:19:58;37064
8;open-source Interact;dynamic bandwidth Buckinghamshire;Oklahoma communities;2019-12-02;33025;11119;2019-12-02;49262;25368;1135;Parkway Handmade Wooden Cheese;q;74421;74604;68103;58336;23750;2019-12-02;2019-12-02T23:26:33;37487;2019-12-02;2019-12-03T02:11:27;8289
9;Cyprus web services ;Designer Incredible Fresh Car Tuvalu;Senior Optional Yeme;2019-12-03;52309;16621;2019-12-02;21680;69574;29449;Orchestrator Naira;L;95041;5786;89026;39452;45565;2019-12-03;2019-12-02T18:09:53;33566;2019-12-03;2019-12-03T04:58:32;18812
10;Junctions one-to-one;analyzing holistic;Architect;2019-12-02;3231;53609;2019-12-03;30952;41120;81379;Pound Sterling Keyboard;L;58116;61341;91917;41824;8274;2019-12-02;2019-12-02T12:00:30;86606;2019-12-02;2019-12-03T07:57:45;16483
