id;value_date;aum;unit;nav;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;2019-12-02;98342;63352;39882;2019-12-02;2019-12-02T13:27:13;9028;2019-12-02;2019-12-02T13:00:03;15071
2;2019-12-03;50819;18651;69581;2019-12-03;2019-12-02T12:26:51;59089;2019-12-03;2019-12-02T16:47:11;22024
3;2019-12-03;71114;51209;80950;2019-12-03;2019-12-03T00:40:48;64517;2019-12-03;2019-12-03T04:51:47;94052
4;2019-12-02;39757;38673;51775;2019-12-02;2019-12-02T12:56:35;13752;2019-12-02;2019-12-03T00:51:44;73521
5;2019-12-03;20907;92469;54144;2019-12-02;2019-12-02T16:20:57;25794;2019-12-03;2019-12-02T17:12:30;17495
6;2019-12-02;98216;55520;51663;2019-12-02;2019-12-03T02:47:17;24185;2019-12-02;2019-12-03T06:48:48;96541
7;2019-12-02;55829;90041;88263;2019-12-02;2019-12-03T04:31:08;33902;2019-12-03;2019-12-03T00:40:01;70035
8;2019-12-02;84666;89711;85632;2019-12-02;2019-12-02T23:20:23;77987;2019-12-02;2019-12-02T17:38:21;85092
9;2019-12-03;93563;16162;78534;2019-12-02;2019-12-02T16:59:32;60642;2019-12-02;2019-12-03T08:49:38;37228
10;2019-12-03;94013;66350;97366;2019-12-03;2019-12-03T02:14:02;16080;2019-12-03;2019-12-02T19:52:42;48561
