id;value_date;instrument_type;asset_value;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;2019-12-02;i;71217;2019-12-03;2019-12-03T03:56:45;49389;2019-12-03;2019-12-03T05:20:53;74649
2;2019-12-03;p;30806;2019-12-02;2019-12-02T20:37:08;9367;2019-12-02;2019-12-03T00:48:53;63633
3;2019-12-03;P;97301;2019-12-02;2019-12-03T00:12:20;48674;2019-12-02;2019-12-02T11:53:37;63113
4;2019-12-02;d;86416;2019-12-03;2019-12-03T04:06:55;72245;2019-12-02;2019-12-03T02:54:04;57200
5;2019-12-03;d;95392;2019-12-03;2019-12-02T11:40:59;88349;2019-12-03;2019-12-02T15:41:41;1545
6;2019-12-02;h;98033;2019-12-02;2019-12-03T07:49:53;29444;2019-12-03;2019-12-03T00:23:51;19091
7;2019-12-02;i;16949;2019-12-03;2019-12-02T20:16:36;39469;2019-12-02;2019-12-02T13:22:44;69602
8;2019-12-02;E;35864;2019-12-03;2019-12-03T03:32:23;51832;2019-12-03;2019-12-02T12:34:59;32255
9;2019-12-02;B;29359;2019-12-03;2019-12-02T14:12:55;41978;2019-12-02;2019-12-03T03:29:27;86707
10;2019-12-02;S;19427;2019-12-02;2019-12-03T07:56:14;70196;2019-12-03;2019-12-02T14:32:27;5076
