id;order_no;order_time;approve_time;amount;charges;net_amount;status;account_id;currency_id;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;portals;2019-12-02T14:58:39;2019-12-02T14:11:12;48037;98727;98528;e;74957;38089;2019-12-03;2019-12-02T10:21:43;82916;2019-12-02;2019-12-02T19:58:55;83832
2;Bypass;2019-12-02T23:41:03;2019-12-03T06:25:38;27340;1367;5637;S;81290;53434;2019-12-02;2019-12-02T15:38:31;99663;2019-12-02;2019-12-02T20:18:34;58514
3;capacitor ;2019-12-03T03:51:13;2019-12-02T22:49:36;20504;12915;25144;m;75699;61812;2019-12-03;2019-12-03T01:02:38;26867;2019-12-03;2019-12-03T09:06:26;67157
4;Kyrgyz Rep;2019-12-02T21:09:21;2019-12-03T02:15:11;85218;81638;55190;C;13401;48004;2019-12-03;2019-12-02T23:32:49;75513;2019-12-02;2019-12-02T18:45:09;63936
5;digital Co;2019-12-02T10:06:32;2019-12-03T01:13:33;60808;58991;63664;J;72639;34825;2019-12-02;2019-12-02T21:18:15;45091;2019-12-02;2019-12-02T11:47:19;39654
6;Home Loan ;2019-12-02T12:56:36;2019-12-02T16:53:47;94952;79647;14707;C;25824;6623;2019-12-02;2019-12-03T08:32:21;98003;2019-12-02;2019-12-02T21:49:01;34741
7;orchid;2019-12-02T19:43:42;2019-12-03T03:52:35;34156;7586;53726;C;58476;15190;2019-12-03;2019-12-03T06:18:28;69766;2019-12-02;2019-12-03T05:19:05;18188
8;best-of-br;2019-12-02T17:37:07;2019-12-02T10:17:07;17231;60193;19228;L;27859;34761;2019-12-03;2019-12-03T08:52:35;8870;2019-12-02;2019-12-03T06:44:40;53442
9;sticky Reg;2019-12-03T06:32:59;2019-12-02T21:33:28;33009;69039;32158;L;48114;62790;2019-12-02;2019-12-03T07:40:39;51165;2019-12-02;2019-12-03T05:52:20;92087
10;Small Plas;2019-12-02T15:40:54;2019-12-02T19:18:19;18452;98625;20934;c;61825;75995;2019-12-03;2019-12-02T20:53:22;46253;2019-12-02;2019-12-02T15:42:02;6234
