id;order_no;order_time;approve_time;order_type;unit;amount;charges;net_amount;status;account_id;currency_id;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;Concrete;2019-12-03T05:51:11;2019-12-02T15:55:40;I;10717;86721;44741;35414;e;73740;37728;2019-12-03;2019-12-03T08:33:58;56396;2019-12-03;2019-12-02T12:52:16;21144
2;internet s;2019-12-03T06:10:25;2019-12-03T03:27:03;d;64882;49844;47958;8692;R;74543;58653;2019-12-02;2019-12-02T19:30:04;12758;2019-12-02;2019-12-03T02:14:14;33744
3;Dynamic Ho;2019-12-03T03:11:00;2019-12-03T00:30:06;D;23722;753;10178;22533;2;48780;16068;2019-12-02;2019-12-03T04:34:13;8788;2019-12-03;2019-12-02T13:42:26;17337
4;Internal;2019-12-03T07:07:20;2019-12-03T07:48:31;G;99725;11203;89661;39785;A;81707;97506;2019-12-03;2019-12-02T21:16:12;17088;2019-12-02;2019-12-02T17:00:02;82086
5;hard drive;2019-12-02T12:55:20;2019-12-02T14:34:49;s;32367;71095;42543;19950;p;70723;61062;2019-12-02;2019-12-03T02:07:15;8729;2019-12-02;2019-12-02T20:54:05;15436
6;Haven Mont;2019-12-03T05:49:19;2019-12-02T19:52:54;Y;20173;32235;68457;80987;C;68150;271;2019-12-02;2019-12-03T06:14:50;59563;2019-12-02;2019-12-02T21:43:49;60610
7;cross-plat;2019-12-02T12:37:50;2019-12-02T13:06:48;A;93834;20500;18123;37922;M;72159;57447;2019-12-03;2019-12-02T12:50:39;78151;2019-12-03;2019-12-02T13:10:39;79526
8;indigo Bac;2019-12-02T13:29:54;2019-12-03T03:23:29;p;31619;87720;58830;39244;i;46267;62410;2019-12-03;2019-12-02T20:05:36;74760;2019-12-02;2019-12-02T20:58:58;57748
9;customized;2019-12-02T23:39:09;2019-12-02T23:50:05;B;62423;54284;11689;43152;m;16673;79402;2019-12-02;2019-12-02T18:09:59;49542;2019-12-02;2019-12-02T15:15:11;89389
10;mobile Che;2019-12-03T01:34:00;2019-12-02T16:04:50;1;14312;3353;20454;56988;c;82125;53648;2019-12-03;2019-12-02T23:57:23;84645;2019-12-02;2019-12-03T05:59:17;60395
