id;account_type;register_id;account_id;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;F;3669;74698;2020-01-15;2020-01-15T17:33:51;24894;2020-01-15;2020-01-15T14:50:05;24796
2;U;88823;84827;2020-01-15;2020-01-15T10:06:04;40151;2020-01-16;2020-01-15T05:16:36;10402
3;h;54823;28728;2020-01-15;2020-01-15T10:15:45;27268;2020-01-15;2020-01-15T11:38:29;43561
4;c;25209;31914;2020-01-15;2020-01-15T05:19:57;13861;2020-01-15;2020-01-15T23:03:19;73972
5;D;33286;9942;2020-01-15;2020-01-16T00:31:25;74639;2020-01-16;2020-01-15T02:27:57;68932
6;p;19634;97507;2020-01-15;2020-01-15T11:25:10;91966;2020-01-15;2020-01-16T01:05:11;8779
7;V;3061;12405;2020-01-15;2020-01-15T15:10:27;85807;2020-01-15;2020-01-15T21:53:15;26189
8;o;93766;56544;2020-01-15;2020-01-15T16:53:30;57418;2020-01-15;2020-01-15T11:40:42;65056
9;D;39399;91762;2020-01-15;2020-01-15T22:06:37;43280;2020-01-15;2020-01-15T08:37:29;69851
10;H;14454;82950;2020-01-15;2020-01-15T23:45:14;95210;2020-01-15;2020-01-15T22:35:31;68997
